artist,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,compound,positive,negative,neutral
Eagles,0.2964775,0.54575,234116.25,0.6965,0.000828475,0.2295,-9.8785,1,6.25,0.034625,141.817,4,0.78925,0.990025,0.21725,0.02625,0.7565
Ed Sheeran,0.50933,0.675,270402.7,0.35889,0.0010772,0.16042,-11.0485,0.9,3.3,0.04365,95.8033,4,0.3823,0.79724,0.2223,0.0619,0.7158
Eddie Cochran,0.347883333,0.6475,125111.0833,0.641833333,0.011452595,0.144358333,-10.84166667,0.916666667,6.75,0.068733333,138.6198333,3.916666667,0.913083333,0.684925,0.180916667,0.037833333,0.78125
Electric Light Orchestra,0.482885714,0.578642857,253217.2143,0.569571429,0.000367471,0.287821429,-8.495928571,0.642857143,5.214285714,0.031771429,116.4572143,4,0.632,-0.180242857,0.112214286,0.174857143,0.713
Ella Fitzgerald,0.709777778,0.616333333,249746.5556,0.232222222,0,0.124911111,-13.64688889,0.555555556,2.555555556,0.085288889,106.7902222,4,0.492,0.560677778,0.191666667,0.055,0.753777778
Ellie Goulding,0.442833333,0.566,235136.5,0.6515,6.40E-05,0.142516667,-6.4765,0.5,5.833333333,0.04495,133.6503333,4,0.473,0.501666667,0.189166667,0.078333333,0.732166667
Elton John,0.33452,0.5192,241908.4,0.7058,0.040772136,0.13216,-7.577,0.8,3.2,0.07842,132.9778,3.8,0.7392,0.4098,0.1572,0.0742,0.7688
Elvis Costello,0.42484,0.598,188397.4,0.488,0.001950558,0.19548,-9.867,0.6,1.8,0.05042,121.0842,4,0.509,0.53344,0.1648,0.0992,0.736
Elvis Presley,0.579883333,0.636333333,131506.5,0.573,0.000982338,0.1385,-10.42033333,1,3.666666667,0.0903,100.9095,4,0.880333333,0.653183333,0.230833333,0.0925,0.676833333
Eminem,0.1945,0.735,274893,0.863666667,0,0.381333333,-4.973,0.666666667,9.666666667,0.293,165.312,4,0.702,0.321166667,0.143333333,0.184,0.672666667
